F:\anaconda\python.exe F:\Pycharm\PyCharm\plugins\python\helpers\pydev\pydevconsole.py --mode=client --port=2558
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['D:\\robot\\RunningRobot', 'D:/robot/RunningRobot'])
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 7.12.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 7.12.0
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)] on win32
In[2]: runfile('D:/robot/RunningRobot/mobilenet/train.py', wdir='D:/robot/RunningRobot/mobilenet')
epoch:5,loss:0.0365
epoch:5,loss:0.4375
epoch:5,loss:0.0471
epoch:5,loss:0.0203
epoch:5,loss:0.0869
epoch:5,loss:0.0290
epoch:5,loss:0.0775
epoch:5,loss:0.0094
epoch:5,loss:0.0910
epoch:5,loss:0.0051
epoch:5,loss:0.0313
epoch:5,loss:0.1121
epoch:5,loss:0.0147
epoch:5,loss:0.0040
epoch:5,loss:0.0753
epoch:5,loss:0.0014
epoch:5,loss:0.1152
epoch:5,loss:0.0025
epoch:5,loss:0.0269
epoch:5,loss:0.0036
epoch:5,loss:0.0413
epoch:5,loss:0.0169
epoch:5,loss:0.0359
epoch:5,loss:0.0072
epoch:5,loss:0.0138
epoch:5,loss:0.0169
epoch:5,loss:0.1078
epoch:5,loss:0.0073
epoch:5,loss:0.1042
epoch:5,loss:0.1669
epoch:5,loss:0.0075
epoch:5,loss:0.0336
epoch:5,loss:0.0093
epoch:5,loss:0.0229
epoch:5,loss:0.0208
epoch:5,loss:0.0087
epoch:5,loss:0.0020
epoch:5,loss:0.0196
epoch:5,loss:0.0052
epoch:5,loss:0.0018
epoch:5,loss:0.0020
epoch:5,loss:0.1693
epoch:5,loss:0.0037
epoch:5,loss:0.0397
epoch:5,loss:0.0093
epoch:5,loss:0.0157
epoch:5,loss:0.0248
epoch:5,loss:0.2050
epoch:5,loss:0.0347
epoch:5,loss:0.0515
epoch:5,loss:0.0012
epoch:5,loss:0.1178
epoch:5,loss:0.0018
epoch:5,loss:0.0008
epoch:5,loss:0.0548
epoch:5,loss:0.0067
epoch:5,loss:0.0412
epoch:5,loss:0.0084
epoch:5,loss:0.0120
epoch:5,loss:0.0018
epoch:5,loss:0.0286
epoch:5,loss:0.0032
epoch:5,loss:0.0017
epoch:5,loss:0.0119
epoch:5,loss:0.0113
epoch:5,loss:0.0233
epoch:5,loss:0.0017
epoch:5,loss:0.2718
epoch:5,loss:0.1264
epoch:5,loss:0.0695
epoch:5,loss:0.0208
epoch:5,loss:0.0515
epoch:5,loss:0.0136
epoch:5,loss:0.0135
epoch:5,loss:0.0166
epoch:5,loss:0.0419
epoch:5,loss:0.0028
epoch:5,loss:0.0593
epoch:5,loss:0.0612
epoch:5,loss:0.0082
epoch:5,loss:0.3329
epoch:5,loss:0.0075
epoch:5,loss:0.0109
epoch:5,loss:0.0275
epoch:5,loss:0.0068
epoch:5,loss:0.0016
epoch:5,loss:0.1961
epoch:5,loss:0.0024
epoch:5,loss:0.0071
epoch:5,loss:0.0205
epoch:5,loss:0.0152
epoch:5,loss:0.0187
epoch:5,loss:0.0045
epoch:5,loss:0.0052
epoch:5,loss:0.2956
epoch:5,loss:0.0007
epoch:5,loss:0.0040
epoch:5,loss:0.0064
epoch:5,loss:0.0043
epoch:5,loss:0.0044
epoch:5,loss:0.0072
============================================
准确率由： tensor(0.9809) 上升至： tensor(0.9875) 已更新并保存权值为weights/best.pkl
第5个epoch的train_data识别准确率为：98%
epoch:6,loss:0.0101
epoch:6,loss:0.0013
epoch:6,loss:0.0232
epoch:6,loss:0.0189
epoch:6,loss:0.0055
epoch:6,loss:0.0779
epoch:6,loss:0.0439
epoch:6,loss:0.0039
epoch:6,loss:0.0025
epoch:6,loss:0.0030
epoch:6,loss:0.0380
epoch:6,loss:0.0013
epoch:6,loss:0.0177
epoch:6,loss:0.0425
epoch:6,loss:0.0018
epoch:6,loss:0.0184
epoch:6,loss:0.1250
epoch:6,loss:0.0046
epoch:6,loss:0.0833
epoch:6,loss:0.0038
epoch:6,loss:0.0029
epoch:6,loss:0.0083
epoch:6,loss:0.0515
epoch:6,loss:0.0028
epoch:6,loss:0.0025
epoch:6,loss:0.0230
epoch:6,loss:0.0021
epoch:6,loss:0.4515
epoch:6,loss:0.0009
epoch:6,loss:0.0049
epoch:6,loss:0.0312
epoch:6,loss:0.1529
epoch:6,loss:0.0587
epoch:6,loss:0.0175
epoch:6,loss:0.0007
epoch:6,loss:0.0150
epoch:6,loss:0.0922
epoch:6,loss:0.0023
epoch:6,loss:0.0036
epoch:6,loss:0.0020
epoch:6,loss:0.0055
epoch:6,loss:0.0022
epoch:6,loss:0.0022
epoch:6,loss:0.0032
epoch:6,loss:0.0016
epoch:6,loss:0.0064
epoch:6,loss:0.0112
epoch:6,loss:0.0040
epoch:6,loss:0.0262
epoch:6,loss:0.0012
epoch:6,loss:0.0310
epoch:6,loss:0.0202
epoch:6,loss:0.0080
epoch:6,loss:0.0460
epoch:6,loss:0.0025
epoch:6,loss:0.0034
epoch:6,loss:0.0151
epoch:6,loss:0.1104
epoch:6,loss:0.0023
epoch:6,loss:0.0055
epoch:6,loss:0.0723
epoch:6,loss:0.0026
epoch:6,loss:0.0158
epoch:6,loss:0.0245
epoch:6,loss:0.0183
epoch:6,loss:0.0015
epoch:6,loss:0.0138
epoch:6,loss:0.0068
epoch:6,loss:0.3626
epoch:6,loss:0.2561
epoch:6,loss:0.0018
epoch:6,loss:0.1578
epoch:6,loss:0.0086
epoch:6,loss:0.0025
epoch:6,loss:0.0011
epoch:6,loss:0.0045
epoch:6,loss:0.0840
epoch:6,loss:0.0121
epoch:6,loss:0.0105
epoch:6,loss:0.0008
epoch:6,loss:0.0054
epoch:6,loss:0.0033
epoch:6,loss:0.0017
epoch:6,loss:0.0009
epoch:6,loss:0.0259
epoch:6,loss:0.0069
epoch:6,loss:0.0007
epoch:6,loss:0.0048
epoch:6,loss:0.0077
epoch:6,loss:0.0804
epoch:6,loss:0.0885
epoch:6,loss:0.1780
epoch:6,loss:0.0089
epoch:6,loss:0.1441
epoch:6,loss:0.0005
epoch:6,loss:0.0062
epoch:6,loss:0.0033
epoch:6,loss:0.0344
epoch:6,loss:0.0017
epoch:6,loss:0.0025
epoch:6,loss:0.2183
epoch:6,loss:0.0279
epoch:6,loss:0.0036
epoch:6,loss:0.0094
epoch:6,loss:0.0352
epoch:6,loss:0.0217
epoch:6,loss:0.1400
epoch:6,loss:0.0020
epoch:6,loss:0.0367
epoch:6,loss:0.0033
epoch:6,loss:0.0070
epoch:6,loss:0.0292
epoch:6,loss:0.0843
epoch:6,loss:0.0051
epoch:6,loss:0.0010
epoch:6,loss:0.0083
epoch:6,loss:0.0180
epoch:6,loss:0.0096
epoch:6,loss:0.0004
epoch:6,loss:0.0003
epoch:6,loss:0.0027
epoch:6,loss:0.0073
epoch:6,loss:0.0604
epoch:6,loss:0.0258
epoch:6,loss:0.0105
epoch:6,loss:0.0079
epoch:6,loss:0.0019
